emp_no,first_name,last_name,dept_name,from_date,to_date
21181,Jianhui,Cangellaris,Production,1991-10-06,9999-01-01
21188,Piyush,Danecki,Development,2000-01-08,9999-01-01
21534,Alagu,Luders,Finance,1996-04-03,1997-12-14
21546,Yongmin,Lanteri,Marketing,2002-03-19,9999-01-01
21843,Karsten,Azadmanesh,Development,1985-11-29,9999-01-01
21909,Mohammed,Brizzi,Sales,1991-12-28,9999-01-01
22027,Sangeeta,Georg,Finance,1992-07-31,1998-03-14
22185,Huai,Birch,Production,2002-06-12,9999-01-01
22415,Perla,Jumpertz,Sales,1994-08-24,9999-01-01
22451,Jasminko,Bresenham,Development,1994-01-19,9999-01-01
22455,Barry,Unno,Marketing,1990-11-16,9999-01-01
22502,Rutger,Binkley,Production,1989-10-16,2001-11-02
22926,Manibrata,Genther,Production,1988-01-15,9999-01-01
23396,Hilari,Fairtlough,Production,1986-12-15,9999-01-01
24080,Jaana,Perez,Development,1996-03-11,9999-01-01
24189,Abdelaziz,Atrawala,Research,1993-03-28,1997-02-23
24205,Roddy,Rubsam,Development,1993-09-19,9999-01-01
24377,Lubomir,Wroclawski,Quality Management,1993-07-25,9999-01-01
24394,Zhonghui,Conta,Sales,1994-09-10,9999-01-01
24421,Dannz,Grospietsch,Production,1990-09-01,2000-10-12
24553,Anwar,Passafiume,Sales,1987-01-30,9999-01-01
24571,Cordelia,Gischer,Production,1989-03-14,9999-01-01
25488,Ingmar,Basawa,Research,1991-11-09,9999-01-01
26476,Bilhanan,Karcich,Sales,1996-04-09,1997-02-04
26503,Shietung,Billingsley,Sales,1998-11-07,1998-12-02
26617,Berto,Bruckman,Development,1991-11-23,1994-03-27
26629,Nevin,Rodham,Research,1998-12-14,9999-01-01
26671,Jiakeng,Kalorkoti,Development,1994-12-25,9999-01-01
26788,Zongyan,Dalphin,Development,1988-04-23,9999-01-01
27150,Chenyi,Plump,Sales,1992-06-23,1995-05-22
27331,Wanqing,Krohm,Customer Service,1991-01-22,9999-01-01
27378,Piyawadee,Leppanen,Finance,1999-02-25,9999-01-01
27620,Shuji,Kandlur,Production,1990-03-02,9999-01-01
27686,Manu,Rosiles,Sales,1998-03-03,9999-01-01
27699,Falguni,Pezzoli,Production,1996-12-23,9999-01-01
27767,Tooru,Veldwijk,Customer Service,1993-11-21,9999-01-01
27970,KayLiang,Miyakawa,Production,1995-11-22,2000-02-07
28193,Xinglin,Mitsuhashi,Development,1988-12-14,9999-01-01
28222,Mayuko,Vitiello,Production,1993-12-22,1995-10-16
28974,Chenxi,Sundgren,Development,1986-09-02,9999-01-01
28988,Tua,Giveon,Production,1998-09-09,9999-01-01
29130,Xumin,Thorensen,Marketing,1998-04-26,9999-01-01
29265,Gilbert,Calkin,Customer Service,1988-03-21,9999-01-01
29380,Satoru,Vidal,Production,1998-05-02,9999-01-01
29418,Valery,Mersereau,Production,1998-07-01,9999-01-01
29679,Kolar,Steenbeek,Development,1986-10-18,9999-01-01
29782,Jouko,Hellwagner,Production,2000-10-23,9999-01-01
29954,Pranay,Giarratana,Production,1992-09-29,9999-01-01
30007,Kousuke,Vecchio,Production,1990-02-23,9999-01-01
30035,Tetsushi,Conta,Research,1995-07-04,9999-01-01
30154,Mayuko,Skafidas,Development,1999-04-19,9999-01-01
30182,Leon,Potthoff,Development,1985-12-08,9999-01-01
30465,Randi,Avouris,Development,1986-07-16,9999-01-01
30484,Sailaja,Chvatal,Sales,1999-05-18,9999-01-01
30552,Yishai,Terlouw,Development,1986-09-19,1999-01-07
30695,Gudjon,Majewski,Development,1999-10-26,9999-01-01
30938,Yakkov,Samarati,Marketing,1997-10-10,9999-01-01
31147,Divine,Sidhu,Finance,1989-07-05,9999-01-01
31170,Tuval,Waleschkowski,Research,1987-10-16,1988-12-14
31188,Leandro,Gist,Production,1993-02-03,9999-01-01
31207,Abdelwaheb,Dulin,Production,1993-08-05,9999-01-01
31341,Oksana,Zultner,Finance,1991-03-23,9999-01-01
31514,Harngdar,Schapire,Development,1996-11-09,9999-01-01
31568,Mark,Lalonde,Marketing,1996-11-24,9999-01-01
31599,Qingxiang,Gewali,Production,1997-09-22,1998-12-01
31629,Toong,Veldwijk,Production,1986-07-28,1996-04-26
31909,Murthy,Peek,Production,2000-10-30,9999-01-01
32347,Terresa,Peres,Marketing,1990-09-15,9999-01-01
32552,Atreye,Stanger,Development,1993-09-10,9999-01-01
32622,Piyush,Paciorek,Human Resources,1991-07-18,1991-08-07
32649,Ingmar,Nannarelli,Research,1988-06-10,9999-01-01
32714,Radoslaw,Maliniak,Marketing,2001-09-18,9999-01-01
32844,Tadahiko,Melton,Development,1995-01-07,9999-01-01
33025,Jessie,Thorelli,Customer Service,1999-12-16,9999-01-01
33215,Steen,Fasbender,Production,1993-02-14,9999-01-01
33293,Adamantios,Vanwelkenhuysen,Development,1994-01-11,2000-08-18
33606,Clyde,Swift,Marketing,1994-11-14,1996-12-29
33722,Anwar,Collette,Research,2001-02-03,9999-01-01
34077,Angel,Sichman,Sales,1988-11-16,9999-01-01
34261,Kyoichi,Callaway,Human Resources,1990-12-30,9999-01-01
34446,Chinhyun,Bauknecht,Development,1986-12-19,9999-01-01
34452,Naftaly,Foong,Production,1991-05-10,9999-01-01
34505,Felicidad,Kumaresan,Sales,1994-09-06,9999-01-01
34533,Erzsebet,Shigei,Quality Management,1995-01-16,9999-01-01
34780,Moni,Kohling,Sales,2001-09-18,9999-01-01
34788,Ennio,Babu,Production,1994-08-31,9999-01-01
34936,Bokyung,Stamatiou,Production,1991-02-12,9999-01-01
35044,Jiang,Waschkowski,Production,1989-05-27,9999-01-01
35087,Leif,Ashish,Customer Service,1994-10-14,9999-01-01
35441,Chandrasekaran,Peek,Research,1990-09-17,9999-01-01
35642,Ashish,Talmon,Quality Management,1999-02-28,9999-01-01
35793,Oscar,Kusalik,Customer Service,1991-05-11,9999-01-01
35798,Ulf,Oberman,Development,1997-03-15,9999-01-01
36521,Serif,Gladwell,Finance,1987-03-06,9999-01-01
36626,Fen,Genin,Sales,1986-05-09,9999-01-01
36733,Uma,Reinhard,Customer Service,1997-11-01,9999-01-01
36844,Hailing,Levergood,Customer Service,2000-01-12,9999-01-01
36982,Kotesh,Rajala,Quality Management,1992-06-23,9999-01-01
37070,Jeong,Undy,Customer Service,1985-02-13,9999-01-01
37592,Berni,Stranks,Development,1985-11-05,1992-09-19
37719,Nakhoon,Buescher,Production,1988-06-12,1999-01-17
37945,Suzette,Butterworth,Development,1994-02-19,9999-01-01
38017,Ulf,Himler,Customer Service,1995-08-05,1997-11-28
38043,Michaela,Randi,Development,1985-11-23,9999-01-01
38103,Masasuke,Babu,Production,1988-03-31,9999-01-01
38168,Fumiko,Deverell,Sales,1987-08-15,9999-01-01
38550,JoAnne,Baez,Quality Management,1987-02-16,9999-01-01
38593,Huei,Orsini,Production,1986-06-04,9999-01-01
38947,Shuichi,Ruemmler,Marketing,1998-04-08,9999-01-01
39000,Martijn,Vendrig,Research,1997-03-03,9999-01-01
39036,Changho,Cappelli,Human Resources,1996-05-04,9999-01-01
39268,Constantijn,Awdeh,Production,1987-10-20,1990-06-10
39301,Rimon,Kawashima,Research,1992-02-06,9999-01-01
39341,Mahmut,Lampe,Production,1985-05-11,9999-01-01
39952,Otmar,Sudbeck,Sales,1998-07-22,9999-01-01
40269,Toshiki,Ghazalie,Sales,1991-12-05,9999-01-01
40283,Sudhanshu,Boissier,Development,1985-05-11,9999-01-01
40301,Spyrose,Felder,Customer Service,1997-10-20,9999-01-01
40536,Harngdar,Bernardinello,Development,1988-02-29,9999-01-01
40648,Wayne,Erev,Finance,1990-09-19,1993-02-02
40765,Michaela,Ramsak,Research,1992-12-21,9999-01-01
40773,Shimshon,Aingworth,Customer Service,1986-04-13,9999-01-01
40785,Youpyo,Castellani,Production,1998-09-04,1999-10-14
40983,Marla,Cherinka,Development,1986-12-01,9999-01-01
41114,Petter,Thummel,Production,1995-12-24,9999-01-01
41137,Bikash,Buchter,Customer Service,1996-01-08,9999-01-01
41357,Willard,Vernadat,Development,1997-03-04,9999-01-01
41518,Keung,Schapiro,Production,2001-02-08,9999-01-01
41520,Xiong,Uhrik,Development,1988-03-21,9999-01-01
41552,Uno,Heyers,Development,1990-09-28,2001-11-29
41609,Yucai,Simmen,Sales,1987-10-13,9999-01-01
42778,Shuji,Remmers,Human Resources,1987-12-18,9999-01-01
42911,Brigham,Eterovic,Production,1994-10-08,9999-01-01
42950,Shaleah,Eickenmeyer,Research,1993-10-09,9999-01-01
42955,Yucel,Lortz,Quality Management,1995-02-21,9999-01-01
43154,Maha,Waterhouse,Finance,1997-07-04,9999-01-01
43358,Ottavia,Mitsuhashi,Marketing,1989-08-18,1996-07-13
43733,Huei,Boguraev,Human Resources,1993-12-31,9999-01-01
43848,Phillip,Oxenboll,Production,1999-05-26,9999-01-01
44054,Alenka,Ritcey,Development,1997-02-09,9999-01-01
44265,Maria,Eppinger,Development,1997-01-30,9999-01-01
44540,Mingzeng,Sadowski,Development,1989-11-12,9999-01-01
44900,Mark,Schwaller,Marketing,1994-08-10,9999-01-01
44959,Volkmar,Uhrik,Production,1988-01-16,9999-01-01
44962,Sariel,Wynblatt,Development,1996-05-18,9999-01-01
45162,Dulce,Speel,Development,1987-10-19,9999-01-01
45590,Masoud,Genin,Quality Management,1991-02-16,1994-06-01
46000,Zhaofang,Penn,Customer Service,1997-07-24,9999-01-01
46015,Weiye,Masand,Sales,1995-07-24,2002-01-29
46222,Mrinalini,Strooper,Sales,1990-03-05,1992-09-04
46328,Wuxu,Trogemann,Sales,1997-01-27,9999-01-01
46531,Yaghout,Peng,Development,1995-10-02,1997-10-07
46811,Junsik,Berendt,Production,1988-04-27,9999-01-01
46834,Tooru,Daescu,Sales,1998-03-20,9999-01-01
46943,Pasqua,Maraist,Development,1993-12-06,9999-01-01
47016,Toong,Litecky,Customer Service,1989-03-01,9999-01-01
47139,Marco,Usdin,Development,1996-10-29,9999-01-01
47262,Gonzalo,Binkley,Development,1985-08-16,9999-01-01
47515,Naraig,Jenevein,Development,1987-01-18,9999-01-01
47702,Juyoung,Vieri,Sales,1991-08-12,9999-01-01
47708,Edwin,Haldar,Marketing,1995-07-12,9999-01-01
48275,Sariel,Massonet,Sales,1987-11-20,9999-01-01
48690,Hitomi,Schaap,Human Resources,1999-09-27,9999-01-01
48882,Leen,Lamparter,Production,1993-06-07,9999-01-01
48904,Yuichiro,Malabarba,Finance,1994-03-07,9999-01-01
48947,Filipp,Akaboshi,Sales,1992-05-20,9999-01-01
49010,Kazuhisa,Benantar,Marketing,1990-03-30,9999-01-01
49017,Filipp,Flanders,Development,1990-11-26,9999-01-01
49119,Lena,Peek,Production,1991-05-16,9999-01-01
49177,Tze,Bach,Production,1999-03-09,9999-01-01
49464,Siddarth,Cappelletti,Sales,1999-09-10,9999-01-01
49477,Baocai,Leaver,Human Resources,1998-08-05,9999-01-01
50293,Xinan,Rindone,Production,1996-10-08,9999-01-01
50311,Mooi,Stafford,Quality Management,1996-10-06,9999-01-01
50360,Sumali,Kushner,Development,1999-10-30,2001-10-29
50453,Aron,Harbusch,Finance,1997-10-02,9999-01-01
50587,Slavian,Yemenis,Development,1993-08-06,1994-11-18
50670,Boguslaw,Snedden,Marketing,1985-02-20,9999-01-01
50831,Marie,Khalid,Production,1996-06-11,9999-01-01
51036,Chriss,Fasbender,Sales,1995-05-23,9999-01-01
51057,Theirry,Albarhamtoshy,Marketing,1991-09-27,9999-01-01
51060,Youngkon,Rohrbach,Development,1989-10-20,9999-01-01
51118,Fumiko,Mundy,Sales,1998-09-22,2001-08-20
51142,Rosine,Lakshmanan,Development,1986-01-31,9999-01-01
51502,Slavian,Munawer,Sales,1999-08-06,2001-09-04
51868,Remmert,Munke,Development,1991-09-22,1998-05-19
52038,Chikako,Armand,Production,1985-05-18,9999-01-01
52040,Phule,Heijenga,Development,1996-12-08,9999-01-01
52283,Trygve,Krupka,Research,1994-03-11,9999-01-01
52386,Adas,Denti,Sales,1986-05-30,9999-01-01
52590,Jouni,Munoz,Development,1996-10-07,9999-01-01
52599,Augustine,Mungall,Customer Service,1994-01-13,9999-01-01
52639,Arup,Colorni,Sales,1996-02-05,9999-01-01
52770,Shugo,Yurek,Sales,1992-08-28,9999-01-01
52778,Alain,Penn,Quality Management,1986-05-03,9999-01-01
52956,Khalil,Picci,Quality Management,1998-11-24,9999-01-01
52970,Lobel,Werthner,Production,1988-03-17,9999-01-01
53088,Mechthild,Lamma,Production,1986-05-19,1993-06-03
53278,Premsyl,Lortz,Sales,1993-02-01,9999-01-01
53314,Eberhardt,Carrera,Research,1999-02-23,9999-01-01
53431,Sham,Vasanthakumar,Customer Service,1993-05-24,9999-01-01
53499,Zdislav,Mandelberg,Production,1994-09-11,9999-01-01
53597,Jiafu,Marchegay,Development,1985-03-02,9999-01-01
53746,Manu,Erva,Sales,1989-03-17,1993-04-29
53874,Bodo,Schade,Marketing,1986-02-14,9999-01-01
53891,Olivera,Pargaonkar,Human Resources,1989-03-13,1992-03-29
53924,Arnould,Gaughan,Production,1991-01-23,9999-01-01
54198,Shaowen,Segond,Development,1986-01-06,9999-01-01
54632,Etsuo,Serot,Finance,1989-06-14,9999-01-01
54795,Sumant,Nergos,Production,1994-03-02,9999-01-01
54800,Breannda,Cangellaris,Sales,2000-01-27,9999-01-01
55121,Toshiko,Alblas,Production,1995-07-20,1996-07-23
55640,Adit,Syrotiuk,Production,1993-07-16,9999-01-01
55670,Ulf,Ranft,Sales,1996-02-26,1996-05-17
55687,Shih,Lindqvist,Development,1995-03-29,9999-01-01
55799,Jianwen,Litzler,Production,1987-06-17,9999-01-01
55857,Adin,Scallan,Sales,1987-09-15,9999-01-01
56105,Makato,Remmers,Development,1989-04-16,9999-01-01
56209,Remzi,Douceur,Production,1992-12-01,9999-01-01
56415,Sigeru,Nivat,Finance,1991-10-24,9999-01-01
56428,Olivera,Hanabata,Sales,1986-11-10,9999-01-01
56682,Roded,Picco,Development,1993-11-06,9999-01-01
56829,Nagui,Gruenwald,Quality Management,1997-06-14,9999-01-01
56847,Menkae,Chinin,Quality Management,1998-08-27,9999-01-01
57934,Sanjoy,Boudaillier,Development,1989-12-27,9999-01-01
57982,Paloma,Benzaken,Human Resources,1989-10-17,1998-09-11
58141,Bezalel,Karner,Finance,1994-09-27,9999-01-01
58147,Shigenori,Sullins,Marketing,1988-02-24,9999-01-01
58217,Kiyotoshi,Kusalik,Quality Management,1998-11-19,1999-06-26
58384,Mariusz,Vural,Development,1993-11-14,9999-01-01
58454,Ziya,Zambonelli,Production,1999-06-29,9999-01-01
58497,Yechiam,Cairo,Marketing,2000-10-21,9999-01-01
58601,Sungwon,Asser,Sales,2000-01-27,2000-04-01
58819,Gennady,Liesche,Sales,1987-12-02,9999-01-01
58990,Palash,Trelles,Development,1998-11-18,9999-01-01
59195,Ronnie,Pollock,Development,1990-06-19,9999-01-01
59329,Zissis,Bazzichi,Sales,1987-02-07,1991-01-25
59640,Zita,Hiltgen,Finance,1999-01-26,9999-01-01
59661,Saeko,Baik,Production,1997-10-11,1999-08-15
59869,Zsolt,Riefers,Marketing,1987-09-25,9999-01-01
59966,Steen,Salvesen,Production,1993-02-03,9999-01-01
60000,Heekeun,Emmart,Development,1995-09-23,9999-01-01
60091,Surveyors,Bade,Customer Service,1990-04-11,9999-01-01
60238,Erzsebet,Claffy,Marketing,1999-02-19,9999-01-01
60559,Jeanna,Stemann,Production,1988-08-29,9999-01-01
60821,Moty,Mersereau,Human Resources,1991-09-03,9999-01-01
60845,Bedir,Siegrist,Production,1997-05-13,9999-01-01
60875,Rildo,Masaki,Quality Management,1990-01-14,9999-01-01
60959,Tetsushi,Sridhar,Marketing,1989-10-19,9999-01-01
61147,Leszek,Werthner,Marketing,1999-03-03,9999-01-01
61253,Cheong,Uhrik,Research,2002-05-09,9999-01-01
61377,Dannz,Ohori,Production,1997-04-13,9999-01-01
61541,Kasidit,Papsdorf,Development,1993-08-17,9999-01-01
61680,Hauke,Templeman,Sales,1991-10-23,1999-02-21
61873,Woody,Rusmann,Quality Management,1993-02-26,9999-01-01
61983,Sastry,Reeken,Sales,1990-07-24,1992-05-17
62033,Heeju,Cappelli,Production,1987-01-15,9999-01-01
62046,Karlis,Nanard,Production,1992-09-19,9999-01-01
62167,Mihalis,Haldar,Production,1998-05-11,2001-02-03
62245,Adel,Bressoud,Development,1995-08-30,9999-01-01
62384,Akeel,Litzler,Research,1999-10-23,2001-12-21
63294,Tetsushi,Tanemo,Production,1997-03-01,9999-01-01
63419,Hiroyasu,Seuren,Production,1989-03-05,9999-01-01
63441,Hinrich,Scallan,Human Resources,1999-04-04,9999-01-01
63444,Padma,Peres,Finance,1985-02-20,1994-12-22
63566,Heekeun,Slaats,Sales,1999-01-12,9999-01-01
63631,Falguni,Cherinka,Customer Service,1987-10-15,9999-01-01
63706,Sedat,Itzigehl,Development,1997-07-31,9999-01-01
64023,Laurentiu,Benzmuller,Development,1999-11-08,9999-01-01
64209,Golgen,Schoegge,Customer Service,1988-02-26,9999-01-01
64431,Faiza,Zongker,Production,1995-12-10,2001-12-03
64487,Tsutomu,Rebaine,Quality Management,1986-09-17,9999-01-01
64532,Atilio,Segond,Production,1990-11-29,9999-01-01
64632,Zsolt,Brender,Sales,1996-02-21,9999-01-01
64790,Shin,Piveteau,Development,1985-04-19,9999-01-01
64828,Krister,Pappas,Sales,1999-09-30,9999-01-01
64984,Eldridge,Eldridge,Quality Management,1994-08-04,9999-01-01
65013,Chandrasekaran,Peral,Development,1985-02-28,2001-12-14
65171,Jeane,Tasistro,Production,1994-07-06,9999-01-01
65539,Aksel,Picaronny,Development,1991-01-27,9999-01-01
65883,Patricia,Pepe,Sales,1991-04-19,9999-01-01
65998,Mandell,Alameldin,Sales,1989-04-08,9999-01-01
66382,Domenico,Candan,Production,1997-07-13,9999-01-01
66530,Dung,Leaver,Research,1998-04-04,9999-01-01
66643,Jianhao,Tomescu,Production,1996-08-26,9999-01-01
66702,Deniz,Thibadeau,Development,1994-09-27,9999-01-01
66757,Yonghong,Baig,Marketing,1999-04-10,9999-01-01
66807,Aiman,Rosaz,Development,1990-05-22,9999-01-01
67320,Sadok,Lorys,Marketing,1987-05-10,9999-01-01
67548,Fumitaka,Roohalamini,Human Resources,1998-06-27,9999-01-01
67934,Aiman,Gargeya,Production,1985-03-07,9999-01-01
68022,Kristinn,Pearson,Customer Service,1995-05-07,1999-06-26
68168,Marl,Thiria,Customer Service,1987-03-18,1996-12-31
68263,Fumiko,Bodoff,Sales,1991-12-19,1993-07-11
68416,Munenori,Debuse,Production,1990-11-08,9999-01-01
68608,Yucai,Seghrouchni,Production,1989-06-09,9999-01-01
68633,Chinhyun,Rassart,Production,1993-07-29,9999-01-01
68648,Jaques,DiGiano,Development,1992-04-01,9999-01-01
69052,Shietung,Shrader,Sales,1995-08-05,9999-01-01
69219,Shuky,Redmiles,Marketing,1994-11-19,9999-01-01
69867,Miyeon,Rothe,Sales,1991-04-09,9999-01-01
69878,Chinya,Cooke,Development,1997-01-29,9999-01-01
69936,Lalit,Unni,Production,1999-01-31,9999-01-01
70469,Tru,Miyakawa,Marketing,1990-09-03,9999-01-01
70780,Behnaam,Angelov,Development,1995-01-29,1999-07-20
70990,Arumugam,Nitta,Production,1990-03-23,9999-01-01
71066,Domenick,Basart,Sales,1996-01-05,9999-01-01
71141,Sajjad,Vitiello,Human Resources,1992-02-17,9999-01-01
71188,Pranjal,Schapiro,Sales,1986-12-14,9999-01-01
71243,Kinh,Buchter,Production,1986-03-29,9999-01-01
71334,Cathie,Peck,Research,2001-03-04,9999-01-01
71685,Kristinn,Olano,Production,1989-10-03,9999-01-01
71710,Hitomi,Takanami,Development,1997-12-15,9999-01-01
71745,Adil,Laventhal,Development,1992-05-13,9999-01-01
72190,Sajjad,Waeselynck,Development,1999-09-13,9999-01-01
72194,Feiyu,Siepmann,Production,1998-10-01,9999-01-01
72232,Naraig,Veldwijk,Quality Management,1989-07-10,9999-01-01
72640,Honglan,Hutton,Quality Management,1993-10-04,9999-01-01
72918,Takahira,Szilard,Sales,1988-01-16,9999-01-01
73076,Froduald,Feldhoffer,Development,1993-03-16,9999-01-01
73233,Shigeo,Merey,Production,1985-07-30,9999-01-01
73516,Qingxiang,Badache,Production,1989-06-25,9999-01-01
73743,Anneke,Bernardeschi,Customer Service,2000-10-15,9999-01-01
73794,Aiichiro,Castellani,Development,1985-08-26,1987-08-19
73903,Bartek,Cappello,Development,1988-07-28,1993-01-02
74200,Holgard,Weiland,Production,1991-09-24,9999-01-01
74237,Jaihie,Vilarrasa,Quality Management,1992-03-03,2001-06-20
74344,Hiroyasu,Provine,Development,1994-11-25,9999-01-01
74598,Kolar,Garigliano,Marketing,1992-05-10,1999-03-07
74668,Masako,Bonifati,Sales,1987-04-09,9999-01-01
74800,Yuuichi,Conde,Production,1989-03-08,9999-01-01
75113,Zissis,Birch,Development,1994-08-19,2000-07-15
75354,Shuky,Jakobus,Development,1986-06-16,9999-01-01
75420,Clyde,Vrecion,Quality Management,1997-07-03,2000-09-14
75703,Kyoichi,Erman,Development,1996-07-25,9999-01-01
75760,Jahangir,Radhakrishnan,Development,1991-04-19,1993-12-29
75888,Marsal,Otillio,Research,1994-01-23,1999-09-16
76178,Chiradeep,Meriste,Production,1988-05-23,1997-06-25
76189,Kolar,Hinsberger,Production,1986-10-20,9999-01-01
76201,Arif,Preusig,Development,1992-04-02,9999-01-01
76417,Parviz,Duclos,Development,1989-12-27,1993-12-31
76598,Keung,Ferriere,Production,1991-05-13,1995-10-08
76640,Tristan,Mitsuhashi,Quality Management,1994-07-13,9999-01-01
76847,Mariusz,Weiland,Development,1989-08-16,1994-11-09
77030,Faiza,Garnham,Development,1986-03-02,9999-01-01
77157,Tesuro,Nicolson,Customer Service,1996-06-01,1999-10-20
77303,Xinglin,Birge,Customer Service,1992-03-05,9999-01-01
77647,Niranjan,Schaaf,Production,1989-11-05,9999-01-01
77815,Ronghao,Picaronny,Development,1993-06-09,9999-01-01
78086,Fabrizio,Anick,Research,1997-12-16,1998-05-02
78106,Ashish,Ratnaker,Marketing,2000-01-17,9999-01-01
78171,Teiji,Hinsberger,Customer Service,1997-01-25,2002-05-18
78363,Susumu,Fritzsche,Quality Management,1998-06-23,9999-01-01
78469,Leucio,Cappelli,Human Resources,1997-08-22,9999-01-01
78871,Conor,Ghandeharizadeh,Development,1985-05-25,9999-01-01
79043,Katsuo,Hockney,Production,1999-11-07,9999-01-01
79171,Guiseppe,Ellozy,Production,1991-01-12,9999-01-01
79190,Tsuneo,Servi,Sales,1999-06-30,2001-06-02
79239,Denny,Griswold,Quality Management,1989-05-18,2001-11-19
79310,Jeong,Cunliffe,Marketing,1996-10-27,9999-01-01
79606,Arnd,Peir,Development,1986-12-11,9999-01-01
79640,Marl,Litzkow,Research,1991-10-12,1993-10-22
79722,Make,Remmers,Sales,1997-08-07,1998-08-08
79763,Sanjoy,Barreiro,Marketing,1988-04-09,9999-01-01
79895,Fei,Murtagh,Sales,1986-01-19,9999-01-01
80067,Kazuhisa,Weiland,Customer Service,1985-11-09,9999-01-01
80203,Shakhar,Baik,Sales,1993-12-01,9999-01-01
80432,Stella,Figueira,Research,1990-03-14,9999-01-01
80656,Kwan,Gide,Development,1998-06-24,2001-07-01
80731,Shaowen,Eldridge,Sales,1987-12-05,9999-01-01
80745,Rimli,Huttel,Sales,1989-12-14,1996-11-29
80850,Koldo,Luit,Production,1995-04-16,9999-01-01
80889,Shigeo,Linnainmaa,Development,1985-07-30,9999-01-01
80948,Harjit,Bardell,Development,1991-05-24,9999-01-01
81105,Jaewon,Boissier,Development,1992-05-24,9999-01-01
81162,Marco,Klerer,Research,1995-02-28,2001-02-02
81545,Larisa,Kornyak,Development,2000-02-07,9999-01-01
81619,Gen,Aloisi,Development,1985-03-12,2002-07-25
81644,Divine,Ghandeharizadeh,Sales,1997-11-28,9999-01-01
81995,Sreekrishna,Brender,Development,1990-03-22,9999-01-01
82069,Yechezkel,Perfilyeva,Production,1994-11-03,9999-01-01
